istaigos_kodas;gydytojo_ID;laisvos_registracijos data;iraso_sukurimo_data
124244754;1212;2019-04-03 11:45:00;2019-03-29 14:41:40
124244754;1105;2019-04-01 14:45:00;2019-03-29 14:41:41
124244754;1312;2019-04-02 08:45:00;2019-03-29 14:41:41
124244754;402;2019-04-02 10:00:00;2019-03-29 14:41:41
124244754;1302;2019-04-04 08:00:00;2019-03-29 14:41:41
124244754;307;2019-04-05 08:30:00;2019-03-29 14:41:41
124244754;1208;2019-04-03 12:00:00;2019-03-29 14:41:42
124244754;1116;2019-04-01 11:30:00;2019-03-29 14:41:42
124244754;444;2019-04-02 09:45:00;2019-03-29 14:41:42
124244754;420;2019-04-05 11:30:00;2019-03-29 14:41:42
124244754;460;2019-04-02 18:00:00;2019-03-29 14:41:42
124244754;306;2019-04-08 13:15:00;2019-03-29 14:41:43
124244754;1121;2019-04-01 14:15:00;2019-03-29 14:41:43
124244754;1403;2019-04-02 17:45:00;2019-03-29 14:41:43
124244754;1119;2019-04-02 12:15:00;2019-03-29 14:41:43
124244754;411;2019-04-02 09:30:00;2019-03-29 14:41:44
124244754;410;2019-04-04 09:45:00;2019-03-29 14:41:44
124244754;1404;2019-04-11 10:00:00;2019-03-29 14:41:44
124244754;448;2019-04-04 16:45:00;2019-03-29 14:41:44
124244754;308;2019-04-02 19:30:00;2019-03-29 14:41:44
124244754;304;2019-04-16 09:30:00;2019-03-29 14:41:45
124244754;415;2019-04-09 16:45:00;2019-03-29 14:41:45
124244754;1415;2019-04-02 09:15:00;2019-03-29 14:41:45
124244754;1120;2019-04-03 08:30:00;2019-03-29 14:41:45
124244754;417;2019-04-04 09:45:00;2019-03-29 14:41:45
124244754;1601;2019-04-02 16:15:00;2019-03-29 14:41:46
124244754;404;2019-04-01 18:15:00;2019-03-29 14:41:46
124244754;1413;2019-04-04 14:45:00;2019-03-29 14:41:46
124244754;1117;2019-04-01 16:45:00;2019-03-29 14:41:46
124244754;405;2019-04-02 09:45:00;2019-03-29 14:41:47
124244754;301;2019-04-03 07:45:00;2019-03-29 14:41:47
124244754;302;2019-04-04 12:15:00;2019-03-29 14:41:47
124244754;1410;2019-04-02 18:00:00;2019-03-29 14:41:47
124244754;407;2019-04-03 18:15:00;2019-03-29 14:41:47
124244754;462;2019-04-02 09:45:00;2019-03-29 14:41:48
124244754;1409;2019-04-11 09:30:00;2019-03-29 14:41:48
124244754;1122;2019-04-03 14:15:00;2019-03-29 14:41:48
124244754;1408;2019-04-04 16:45:00;2019-03-29 14:41:48
124244754;1405;2019-04-03 07:45:00;2019-03-29 14:41:49
124244754;413;2019-04-02 09:45:00;2019-03-29 14:41:49
124244754;1205;2019-04-01 08:00:00;2019-03-29 14:41:49
124244754;414;2019-04-09 16:45:00;2019-03-29 14:41:49
124244754;1406;2019-04-09 09:45:00;2019-03-29 14:41:49
124244754;1210;2019-04-03 08:30:00;2019-03-29 14:41:50
124244754;1303;2019-04-01 08:15:00;2019-03-29 14:41:50
124244754;1114;2019-04-02 11:15:00;2019-03-29 14:41:50
124244754;1115;2019-04-01 15:15:00;2019-03-29 14:41:50
